s	Product	Department	Dept_Name	Year	Month	Sales	Transactions	Items
153	Grapes Red Organic	2	PRODUCE	2011	9	14462.74	2240	2280
320	Peach Colorado Organic	2	PRODUCE	2013	9	14458.83	2838	2864
99	Wedge Cookie	8	DELI	2012	2	14414.01	4817	5971
133	AVOCADO Hass Organic	2	PRODUCE	2011	8	14375.59	4851	5675
133	AVOCADO Hass Organic	2	PRODUCE	2013	6	14312.46	5788	6706
351	Asparagus Green/Purple Organic	2	PRODUCE	2014	6	14292.87	1915	1911
99	Wedge Cookie	8	DELI	2016	2	14259.58	4230	4705
351	Asparagus Organic	2	PRODUCE	2015	4	14244.81	1916	1908
99	Wedge Cookie	8	DELI	2014	1	14229.47	4470	5521
347	BROCCOLI Organic	2	PRODUCE	2014	12	14196.37	4106	4110
351	Asparagus Organic	2	PRODUCE	2012	4	14174.74	2147	2136
351	Asparagus Green/Purple Organic	2	PRODUCE	2014	4	14172.18	1711	1718
99	WEDGE COOKIE	8	DELI	2011	5	14160.35	4757	5941
133	AVOCADO Hass Organic	2	PRODUCE	2016	12	14115.71	3957	4389
153	Grapes Red Organic	2	PRODUCE	2011	10	14088.62	2466	2521
99	Wedge Cookie	8	DELI	2016	11	14078.17	3891	4640
81076600001	O.Large Eggs 12ct Larry	4	REF GROCERY	2014	11	14072.27	3339	3628
99	Wedge Cookie	8	DELI	2012	1	14065.18	4705	5783
99	Wedge Cookie	8	DELI	2013	1	14050.57	4771	5576
130	AVOCADO Hass Big O.	2	PRODUCE	2015	11	14011.51	4405	4758
99	Wedge Cookie	8	DELI	2017	1	14003.9	3725	4495
8027	Member Class-C Share Purchase	15	MISC P/I	2014	5	14000	3	3
8027	Member Class-C Share Purchase	15	MISC P/I	2015	5	14000	3	3
99	Wedge Cookie	8	DELI	2016	10	13993.32	4154	4970
11	BROCCOLI Organic	2	PRODUCE	2012	3	13966.86	4859	4907
133	AVOCADO Hass Organic	2	PRODUCE	2014	10	13953.16	4548	5182
826	TOMATOES Living Waters Hydro	2	PRODUCE	2014	4	13916.2	3685	3736
99	Wedge Cookie	8	DELI	2013	2	13896.4	4592	5423
338	O.Blueberries WI pint	2	PRODUCE	2013	8	13855.47	2022	2150
826	TOMATOES Living Waters Hydro	2	PRODUCE	2014	6	13824.64	4059	4115
11	BROCCOLI Organic	2	PRODUCE	2014	3	13821.55	4674	4689
153	Grapes Red Organic	2	PRODUCE	2014	9	13773.68	2495	2518
