Date	Hour	Sales	Transactions	Items
2/10/2010	14	6095.77	137	1564
2/10/2010	15	6230.06	146	1745
2/10/2010	16	5145.47	125	1496
2/10/2010	17	4656.53	129	1382
2/10/2010	18	5884.93	144	1801
2/10/2010	19	4262.85	120	1215
2/10/2010	20	4292.89	111	1184
2/10/2010	21	3183.5	68	1009
2/10/2010	22	664.2	12	156
2/11/2010	9	2120.3	67	572
2/11/2010	10	3690.52	81	938
2/11/2010	11	4868.25	112	1436
2/11/2010	12	5259.3	137	1470
2/11/2010	13	5460.4	131	1509
2/11/2010	14	5332.42	102	1459
2/11/2010	15	4548.12	116	1323
2/11/2010	16	4183.72	131	1349
2/11/2010	17	5841.34	142	1765
2/11/2010	18	4102.28	123	1316
2/11/2010	19	4834.45	126	1425
2/11/2010	20	3937.62	94	1121
2/11/2010	21	2852.32	82	861
2/11/2010	22	368.96	4	90
2/12/2010	8	0.49	3	1
2/12/2010	9	1951.86	58	517
2/12/2010	10	2761.77	66	736
2/12/2010	11	4594.96	113	1282
2/12/2010	12	5986.12	160	1755
2/12/2010	13	5396.2	141	1518
2/12/2010	14	5384.96	114	1542
2/12/2010	15	6021.41	134	1759
2/12/2010	16	5153.7	128	1510
2/12/2010	17	6731.61	145	1863
2/12/2010	18	4569.8	117	1324
2/12/2010	19	4042.31	114	1197
2/12/2010	20	3290.83	86	1044
2/12/2010	21	2224.45	51	660
2/12/2010	22	41.48	2	21
2/13/2010	9	4483.5	83	1196
2/13/2010	10	5651.69	113	1516
2/13/2010	11	8024.21	148	2235
2/13/2010	12	7811.2	171	2129
2/13/2010	13	8103.37	164	2410
2/13/2010	14	8655.93	187	2427
2/13/2010	15	8461.47	165	2256
2/13/2010	16	7453.46	180	2152
2/13/2010	17	8704.15	176	2346
2/13/2010	18	6540.47	146	1846
2/13/2010	19	4875.3	111	1374
2/13/2010	20	2840.78	90	780
2/13/2010	21	178.74	4	70
2/14/2010	9	4625.38	94	1321
2/14/2010	10	5092.28	123	1465
2/14/2010	11	7316.28	145	2149
2/14/2010	12	8936.64	162	2499
2/14/2010	13	6464.49	149	1919
2/14/2010	14	7145.8	142	2078
2/14/2010	15	9551.9	202	2934
2/14/2010	16	7794.65	176	2270
2/14/2010	17	6964.45	169	2157
2/14/2010	18	5553.65	135	1699
2/14/2010	19	2814.69	95	978
2/14/2010	20	2773.93	67	795
2/14/2010	21	45.76	3	19
2/15/2010	8	0	1	0
2/15/2010	9	1687.45	39	432
2/15/2010	10	2773.68	66	790
2/15/2010	11	4389.21	110	1311
2/15/2010	12	5950.73	127	1663
2/15/2010	13	5741.2	126	1603
2/15/2010	14	4269.2	111	1227
2/15/2010	15	6038.77	136	1693
2/15/2010	16	6168.11	162	1859
2/15/2010	17	5773.01	146	1795
2/15/2010	18	6183.53	148	1824
2/15/2010	19	4451.16	132	1489
2/15/2010	20	2850.87	73	837
2/15/2010	21	2052.63	70	623
2/15/2010	22	160.84	4	54
2/16/2010	9	1807.33	48	496
2/16/2010	10	3463.72	81	980
